"","temp.Cat","treatment","genotype","fragment.ID","species","chamber.channel","run","individual.ID","Temp.C","rate.type","umol.cm2.hr","log.rate","K"
"33","21","deep","123","MA3d","PAST",2,2102,"MA3",21.3546913650886,"GP",1.56598986153307,0.942344315107336,294.504691365089
"34","21","deep","221","MC3d","MCAV",10,2102,"MC3",21.562943194722,"GP",1.44605861719115,0.89447800148771,294.712943194722
"35","21","deep","323","MF3d","OFRA",7,2102,"MF3",21.8109491917141,"GP",2.38758072078512,1.22011601493597,294.960949191714
"36","21","deep","422","ML2d","DLAB",5,2102,"ML2",21.3023130257722,"GP",2.03904462027499,1.11154319637869,294.452313025772
"37","21","shallow","112","SA2d","PAST",4,2102,"SA2",21.2923555243154,"GP",1.34155072882089,0.850813414502179,294.442355524315
"38","21","shallow","211","SC1d","MCAV",9,2102,"SC1",21.4101126499957,"GP",2.07196604207553,1.12231776121246,294.560112649996
"39","21","shallow","311","SF1d","OFRA",3,2102,"SF1",21.3456845229046,"GP",1.76679733043409,1.01769045288698,294.495684522905
"40","21","shallow","411","SL1d","DLAB",6,2102,"SL1",21.2980243609394,"GP",1.98421353872708,1.09333624101675,294.448024360939
"41","21","deep","122","MA2d","PAST",6,2103,"MA2",21.5506171720112,"GP",0.706920935930902,0.534691125183023,294.700617172011
"42","21","deep","222","MC2d","MCAV",9,2103,"MC2",21.6981714564298,"GP",1.38585519187622,0.869557631086364,294.84817145643
"43","21","deep","321","MF1d","OFRA",1,2103,"MF1",21.3617957281801,"GP",1.99204178531747,1.09595602569569,294.51179572818
"44","21","deep","421","ML1d","DLAB",7,2103,"ML1",21.7577710861378,"GP",3.20301673090226,1.43580253671985,294.907771086138
"45","21","shallow","113","SA3d","PAST",10,2103,"SA3",21.6491651234362,"GP",1.57283618695044,0.945008865105106,294.799165123436
"46","21","shallow","213","SC3d","MCAV",3,2103,"SC3",21.4176562910238,"GP",1.26228541622021,0.816375548434426,294.567656291024
"47","21","shallow","312","SF2d","OFRA",2,2103,"SF2",21.3159365075692,"GP",1.56885487339111,0.943460225053301,294.465936507569
"48","21","shallow","412","SL2d","DLAB",4,2103,"SL2",21.4807313177778,"GP",1.95717857983442,1.08423563128029,294.630731317778
"49","23","deep","121","MA1c","PAST",7,2301,"MA1",23.3870853391127,"GP",1.99252550436099,1.09611768117424,296.537085339113
"50","23","deep","221","MC1c","MCAV",5,2301,"MC1",23.1944192415106,"GP",1.22238764768455,0.798582134905191,296.344419241511
"51","23","deep","321","MF1c","OFRA",9,2301,"MF1",23.3144942810748,"GP",1.89813056543456,1.06406589651872,296.464494281075
"52","23","deep","423","ML3c","DLAB",2,2301,"ML3",23.1716544029706,"GP",1.3575142385996,0.857607775210144,296.321654402971
"53","23","shallow","111","SA1c","PAST",6,2301,"SA1",23.1993224144729,"GP",2.04437668458418,1.11329617892171,296.349322414473
"54","23","shallow","212","SC2c","MCAV",10,2301,"SC2",23.3406085535674,"GP",1.60085095300661,0.955838681097799,296.490608553567
"55","23","shallow","313","SF3c","OFRA",8,2301,"SF3",23.2177268332433,"GP",1.64026658288215,0.970879890424705,296.367726833243
"56","23","shallow","412","SL2c","DLAB",3,2301,"SL2",23.2663212418921,"GP",2.72306626645295,1.3145475939406,296.416321241892
"57","23","deep","122","MA2c","PAST",8,2302,"MA2",23.1163090488822,"GP",1.14718766349896,0.764158922388891,296.266309048882
"58","23","deep","223","MC3c","MCAV",2,2302,"MC3",23.3558086382283,"GP",1.7899667979192,1.02602969537508,296.505808638228
"59","23","deep","323","MF3c","OFRA",10,2302,"MF3",23.2355921592581,"GP",1.64982084217438,0.974492030986044,296.385592159258
"60","23","deep","421","ML1c","DLAB",5,2302,"ML1",23.2327647115508,"GP",2.47733468559971,1.2462661053964,296.382764711551
"61","23","shallow","112","SA2c","PAST",1,2302,"SA2",23.4373790997428,"GP",1.70596661963644,0.99545919398753,296.587379099743
"62","23","shallow","213","SC3c","MCAV",7,2302,"SC3",23.5380181108365,"GP",1.40173787516139,0.876192589959959,296.688018110836
"63","23","shallow","311","SF1c","OFRA",3,2302,"SF1",23.3830523264856,"GP",1.78215717171232,1.02322658784802,296.533052326486
"64","23","shallow","411","SL1c","DLAB",6,2302,"SL1",23.2340489458794,"GP",2.14763107468673,1.14665013013178,296.384048945879
"65","23","deep","123","MA3c","PAST",10,2303,"MA3",23.4924094355107,"GP",1.41837953214399,0.88309770105993,296.642409435511
"66","23","deep","222","MC2c","MCAV",4,2303,"MC2",23.4442847993886,"GP",1.17452047394577,0.776808168484109,296.594284799389
"67","23","deep","322","MF2c","OFRA",1,2303,"MF2",23.4526231169607,"GP",1.91161266675048,1.06870710869572,296.602623116961
"68","23","deep","422","ML2c","DLAB",8,2303,"ML2",23.478961586271,"GP",2.16523271510769,1.15222658057327,296.628961586271
"69","23","shallow","113","SA3c","PAST",9,2303,"SA3",23.6706858414875,"GP",1.68208004360552,0.986592629158929,296.820685841487
"70","23","shallow","211","SC1c","MCAV",5,2303,"SC1",23.502122949498,"GP",1.14206008853047,0.761768024167326,296.652122949498
"71","23","shallow","312","SF2c","OFRA",6,2303,"SF2",23.4581155918177,"GP",2.46656062574572,1.24316292828418,296.608115591818
"72","23","shallow","413","SL3c","DLAB",7,2303,"SL3",23.6235708049436,"GP",1.7422302750408,1.00877155829986,296.773570804944
"73","26","deep","122","MA2b","PAST",10,2601,"MA2",26.4812173840184,"GP",1.51336525123696,0.921622592702267,299.631217384018
"74","26","deep","221","MC1b","MCAV",3,2601,"MC1",26.3946463898883,"GP",1.77103317381569,1.01922023759398,299.544646389888
"75","26","deep","323","MF3b","OFRA",8,2601,"MF3",26.335688225262,"GP",3.34174393331848,1.46827609535465,299.485688225262
"76","26","deep","423","ML3b","DLAB",7,2601,"ML3",26.4580673556819,"GP",2.303033863044,1.19484139856439,299.608067355682
