"","K","lwr_CI","upr_CI",".fitted","genotype","treatment","rate.type"
"3240",309.238948828675,0.147145057848397,0.231568842571133,0.163197406146829,"MF2","deep","GP"
"3241",309.308782691807,0.131017320718052,0.216755750289707,0.145904707715013,"MF2","deep","GP"
"3242",309.37861655494,0.114834376575343,0.201893523859798,0.128520891736925,"MF2","deep","GP"
"3243",309.448450418072,0.0985974442539341,0.186983200008584,0.111047664914634,"MF2","deep","GP"
"3244",309.518284281205,0.0805988419758686,0.172025801932445,0.0934867229435674,"MF2","deep","GP"
"3245",309.588118144337,0.0613352864494057,0.157022339235393,0.0758397497583316,"MF2","deep","GP"
"3246",309.65795200747,0.0419564462397181,0.14197380787996,0.0581084168167636,"MF2","deep","GP"
"3247",309.727785870602,0.0224644716418378,0.126881190150165,0.0402943824219415,"MF2","deep","GP"
"3248",309.797619733735,0.00286150559786137,0.111745454625775,0.02239929108131,"MF2","deep","GP"
"3249",309.867453596867,-0.0168503177117233,0.0965675561676436,0.00442477290265098,"MF2","deep","GP"
"3250",309.93728746,-0.0366688742179416,0.0813484359137503,-0.0136275569735802,"MF2","deep","GP"
"3251",292.44413575,0.751348050437619,1.06368664621825,0.925733642336249,"SF3","shallow","GP"
"3252",292.51387556494,0.758128744721102,1.06449636798289,0.928829164323332,"SF3","shallow","GP"
"3253",292.58361537988,0.764885012846152,1.06530448252273,0.931919832351597,"SF3","shallow","GP"
"3254",292.653355194819,0.771616393701434,1.06611095020987,0.935005549404628,"SF3","shallow","GP"
"3255",292.723095009759,0.778322417071234,1.0669157301116,0.938086215645052,"SF3","shallow","GP"
"3256",292.792834824699,0.785002603509804,1.06771877994842,0.941161728336422,"SF3","shallow","GP"
"3257",292.862574639639,0.791656464216478,1.06852005605075,0.944231981763102,"SF3","shallow","GP"
"3258",292.932314454578,0.798283500911566,1.06931951331424,0.947296867148036,"SF3","shallow","GP"
"3259",293.002054269518,0.804883205713275,1.07011710515372,0.950356272568411,"SF3","shallow","GP"
"3260",293.071794084458,0.811455061015812,1.07091278345568,0.953410082869161,"SF3","shallow","GP"
"3261",293.141533899398,0.817998539368761,1.07170649852922,0.956458179574222,"SF3","shallow","GP"
"3262",293.211273714337,0.824513103357951,1.07249819905552,0.959500440795534,"SF3","shallow","GP"
"3263",293.281013529277,0.830998205488034,1.07328783203569,0.962536741139733,"SF3","shallow","GP"
"3264",293.350753344217,0.837453288066836,1.07407534273698,0.965566951612441,"SF3","shallow","GP"
"3265",293.420493159157,0.843877783091831,1.07486067463735,0.968590939520183,"SF3","shallow","GP"
"3266",293.490232974096,0.85027111213879,1.07564376936822,0.971608568369793,"SF3","shallow","GP"
"3267",293.559972789036,0.856632686252879,1.07642456665552,0.974619697765312,"SF3","shallow","GP"
"3268",293.629712603976,0.862961905842457,1.07720300425886,0.977624183302317,"SF3","shallow","GP"
"3269",293.699452418916,0.869258160575714,1.07797901790882,0.980621876459621,"SF3","shallow","GP"
"3270",293.769192233855,0.875332434389062,1.07875254124223,0.983612624488274,"SF3","shallow","GP"
"3271",293.838932048795,0.881303791492334,1.07952350573554,0.986596270297867,"SF3","shallow","GP"
"3272",293.908671863735,0.88724323688069,1.08029184063602,0.989572652340005,"SF3","shallow","GP"
"3273",293.978411678675,0.893150180724272,1.08109014322889,0.992541604488976,"SF3","shallow","GP"
"3274",294.048151493614,0.899024023290152,1.08238777853911,0.995502955919505,"SF3","shallow","GP"
"3275",294.117891308554,0.904864154878432,1.08367826238716,0.998456530981551,"SF3","shallow","GP"
"3276",294.187631123494,0.910669955762782,1.08496143188165,1.00140214907214,"SF3","shallow","GP"
"3277",294.257370938434,0.916440796135494,1.08623712004079,1.00433962450406,"SF3","shallow","GP"
"3278",294.327110753373,0.922176036057517,1.08750515569386,1.00726876637156,"SF3","shallow","GP"
"3279",294.396850568313,0.926957533052722,1.0887653633805,1.01018937841275,"SF3","shallow","GP"
"3280",294.466590383253,0.931025562161863,1.09001756324768,1.01310125886892,"SF3","shallow","GP"
"3281",294.536330198193,0.935079513073901,1.09126157094456,1.01600420034042,"SF3","shallow","GP"
"3282",294.606070013133,0.939119117128478,1.0924971975149,1.0188979896394,"SF3","shallow","GP"
"3283",294.675809828072,0.943144100135718,1.09372424928722,1.021782407639,"SF3","shallow","GP"
"3284",294.745549643012,0.947110637828703,1.09494252776254,1.02465722911924,"SF3","shallow","GP"
"3285",294.815289457952,0.950712648699935,1.09615182949972,1.02752222260933,"SF3","shallow","GP"
"3286",294.885029272892,0.954305683100211,1.09735194599828,1.03037715022651,"SF3","shallow","GP"
"3287",294.954769087831,0.957889537730867,1.0985426635788,1.03322176751129,"SF3","shallow","GP"
"3288",295.024508902771,0.96146400355077,1.0998867584187,1.03605582325905,"SF3","shallow","GP"
"3289",295.094248717711,0.965028865621518,1.10260489139721,1.03887905934799,"SF3","shallow","GP"
"3290",295.163988532651,0.968583902948788,1.10620449650157,1.04169121056333,"SF3","shallow","GP"
"3291",295.23372834759,0.972128888319784,1.10975291842506,1.04449200441774,"SF3","shallow","GP"
"3292",295.30346816253,0.975663588136729,1.11324941665846,1.04728116096805,"SF3","shallow","GP"
"3293",295.37320797747,0.979187762246269,1.11669324489673,1.05005839262798,"SF3","shallow","GP"
"3294",295.44294779241,0.982701163764758,1.12008365119519,1.05282340397711,"SF3","shallow","GP"
"3295",295.512687607349,0.986203538899333,1.12341987813387,1.05557589156586,"SF3","shallow","GP"
"3296",295.582427422289,0.989694626764674,1.12670116298983,1.05831554371656,"SF3","shallow","GP"
"3297",295.652167237229,0.993174159195435,1.12992673791787,1.06104204032055,"SF3","shallow","GP"
"3298",295.721907052169,0.996641860554179,1.13309583013939,1.06375505263125,"SF3","shallow","GP"
"3299",295.791646867108,1.00009744753483,1.13620766213978,1.06645424305322,"SF3","shallow","GP"
"3300",295.861386682048,1.00354062896149,1.13926145187408,1.06913926492721,"SF3","shallow","GP"
"3301",295.931126496988,1.00697110558257,1.14225641298122,1.07180976231111,"SF3","shallow","GP"
"3302",296.000866311928,1.01038856986021,1.14519175500677,1.07446536975687,"SF3","shallow","GP"
"3303",296.070606126867,1.01379270575477,1.14806668363418,1.07710571208337,"SF3","shallow","GP"
"3304",296.140345941807,1.01718318850447,1.15088040092465,1.07973040414513,"SF3","shallow","GP"
"3305",296.210085756747,1.02055968440006,1.15363210556552,1.08233905059713,"SF3","shallow","GP"
"3306",296.279825571687,1.02392185055434,1.15632099312723,1.0849312456554,"SF3","shallow","GP"
"3307",296.349565386626,1.02726933466657,1.15894625632888,1.08750657285371,"SF3","shallow","GP"
"3308",296.419305201566,1.03060177478174,1.16150708531217,1.0900646047962,"SF3","shallow","GP"
"3309",296.489045016506,1.03391879904441,1.16400266792392,1.09260490290605,"SF3","shallow","GP"
"3310",296.558784831446,1.03722002544729,1.16643219000693,1.09512701717022,"SF3","shallow","GP"
"3311",296.628524646386,1.04050506157438,1.16879483569916,1.09763048588032,"SF3","shallow","GP"
"3312",296.698264461325,1.04377350433859,1.17108978774113,1.10011483536963,"SF3","shallow","GP"
"3313",296.768004276265,1.04702493971381,1.17331622779151,1.10257957974637,"SF3","shallow","GP"
"3314",296.837744091205,1.05025894246132,1.17547333675063,1.10502422062329,"SF3","shallow","GP"
"3315",296.907483906145,1.0534750758506,1.17756029509187,1.10744824684365,"SF3","shallow","GP"
"3316",296.977223721084,1.05667289137432,1.1795762832008,1.1098511342037,"SF3","shallow","GP"
"3317",297.046963536024,1.05985192845755,1.18152048172186,1.11223234517177,"SF3","shallow","GP"
"3318",297.116703350964,1.06301171416113,1.1833920719123,1.11459132860406,"SF3","shallow","GP"
"3319",297.186443165904,1.0661517628792,1.18519023600342,1.1169275194573,"SF3","shallow","GP"
"3320",297.256182980843,1.06927157603064,1.18691415756862,1.11924033849845,"SF3","shallow","GP"
"3321",297.325922795783,1.07190165661484,1.18856302189819,1.12152919201144,"SF3","shallow","GP"
"3322",297.395662610723,1.07450516062678,1.19013601638056,1.12379347150137,"SF3","shallow","GP"
"3323",297.465402425663,1.07709734157059,1.19163233088972,1.12603255339615,"SF3","shallow","GP"
"3324",297.535142240602,1.07967784641406,1.1930511581785,1.12824579874591,"SF3","shallow","GP"
"3325",297.604882055542,1.08224630990064,1.19439169427743,1.1304325529203,"SF3","shallow","GP"
"3326",297.674621870482,1.08480235414745,1.19565313889894,1.13259214530402,"SF3","shallow","GP"
"3327",297.744361685422,1.08734558823129,1.19683469584641,1.13472388899078,"SF3","shallow","GP"
"3328",297.814101500361,1.08987560776253,1.19793557342782,1.13682708047595,"SF3","shallow","GP"
"3329",297.883841315301,1.09239199444652,1.19895498487367,1.13890099934825,"SF3","shallow","GP"
"3330",297.953581130241,1.09486074875546,1.19989214875867,1.14094490798074,"SF3","shallow","GP"
"3331",298.023320945181,1.09718316084089,1.20074628942688,1.1429580512215,"SF3","shallow","GP"
"3332",298.09306076012,1.09947873454001,1.20151663741994,1.14493965608429,"SF3","shallow","GP"
"3333",298.16280057506,1.10174690668758,1.20220242990781,1.14688893143965,"SF3","shallow","GP"
"3334",298.23254039,1.1039871000534,1.20280291112178,1.14880506770681,"SF3","shallow","GP"
"3335",298.30228020494,1.1060111470258,1.20372509052091,1.15068723654679,"SF3","shallow","GP"
"3336",298.372020019879,1.10656918013801,1.20465165085271,1.15253459055726,"SF3","shallow","GP"
"3337",298.441759834819,1.10707610896816,1.20551032040837,1.15434626296951,"SF3","shallow","GP"
"3338",298.511499649759,1.10712836453503,1.20630022727775,1.15612136734817,"SF3","shallow","GP"
"3339",298.581239464699,1.10710328206706,1.20702049706832,1.15785899729408,"SF3","shallow","GP"
"3340",298.650979279639,1.10702919926744,1.20767025320678,1.15955822615102,"SF3","shallow","GP"
"3341",298.720719094578,1.1069056342418,1.20824861724968,1.16121810671674,"SF3","shallow","GP"
"3342",298.790458909518,1.10673210460141,1.20875470920296,1.16283767095904,"SF3","shallow","GP"
"3343",298.860198724458,1.10650812751976,1.20952400161976,1.16441592973748,"SF3","shallow","GP"
"3344",298.929938539398,1.10623321978535,1.21053025185284,1.16595187253146,"SF3","shallow","GP"
"3345",298.999678354337,1.10590689785016,1.21147186308367,1.16744446717529,"SF3","shallow","GP"
"3346",299.069418169277,1.10546304443653,1.21234776070339,1.16889265960114,"SF3","shallow","GP"
"3347",299.139157984217,1.10480441003128,1.21315685959453,1.17029537359052,"SF3","shallow","GP"
"3348",299.208897799157,1.10408816049503,1.21450384337533,1.17165151053514,"SF3","shallow","GP"
"3349",299.278637614096,1.1033137034904,1.2161398989087,1.17295994920807,"SF3","shallow","GP"
"3350",299.348377429036,1.10248044533746,1.21771159486701,1.17421954554597,"SF3","shallow","GP"
"3351",299.418117243976,1.10158779110094,1.21921751180689,1.17542913244334,"SF3","shallow","GP"
"3352",299.487857058916,1.10063514467736,1.22065620573872,1.1765875195598,"SF3","shallow","GP"
"3353",299.557596873855,1.09962190888241,1.22202620811423,1.17769349314126,"SF3","shallow","GP"
"3354",299.627336688795,1.09854748553815,1.22332602583983,1.17874581585614,"SF3","shallow","GP"
"3355",299.697076503735,1.09741127556029,1.22455414131715,1.17974322664746,"SF3","shallow","GP"
"3356",299.766816318675,1.09621267904542,1.22570901251217,1.18068444060214,"SF3","shallow","GP"
"3357",299.836556133614,1.09495109535803,1.22678907305444,1.18156814883847,"SF3","shallow","GP"
"3358",299.906295948554,1.09362592321764,1.22779273236786,1.18239301841281,"SF3","shallow","GP"
"3359",299.976035763494,1.09223656078564,1.22871837583446,1.18315769224689,"SF3","shallow","GP"
"3360",300.045775578434,1.09078240575212,1.22956436499283,1.18386078907674,"SF3","shallow","GP"
"3361",300.115515393373,1.08926285542262,1.23032903777259,1.18450090342451,"SF3","shallow","GP"
"3362",300.185255208313,1.08767730680481,1.23101070876648,1.18507660559446,"SF3","shallow","GP"
"3363",300.254995023253,1.08602515669511,1.23160766954172,1.18558644169438,"SF3","shallow","GP"
"3364",300.324734838193,1.08430580176543,1.232118188992,1.18602893368364,"SF3","shallow","GP"
