fragment.ID.full,Temp.C,fragment.ID,species,temp.Cat,treatment,genotype,rate.type,umol.cm2.hr
2102_ML2d,21.33626583,ML2d,DLAB,21,deep,ML2,GP,2.03904462
2102_SA2d,21.34351589,SA2d,PAST,21,shallow,SA2,GP,1.341550729
2102_SC1d,21.45490687,SC1d,MCAV,21,shallow,SC1,GP,2.071966042
2102_SF1d,21.38204952,SF1d,OFRA,21,shallow,SF1,GP,1.76679733
2102_SL1d,21.32639312,SL1d,DLAB,21,shallow,SL1,GP,1.984213539
2103_MA2d,21.49053352,MA2d,PAST,21,deep,MA2,GP,0.706920936
2103_MC2d,21.62496309,MC2d,MCAV,21,deep,MC2,GP,1.385855192
2103_MF1d,21.40090918,MF1d,OFRA,21,deep,MF1,GP,1.992041785
2103_ML1d,21.68847457,ML1d,DLAB,21,deep,ML1,GP,3.203016731
2103_SA3d,21.570029,SA3d,PAST,21,shallow,SA3,GP,1.572836187
2103_SC3d,21.42098488,SC3d,MCAV,21,shallow,SC3,GP,1.262285416
2103_SF2d,21.35428753,SF2d,OFRA,21,shallow,SF2,GP,1.568854873
2103_SL2d,21.45741354,SL2d,DLAB,21,shallow,SL2,GP,1.95717858
2301_MA1c,23.42211769,MA1c,PAST,23,deep,MA1,GP,1.992525504
2301_MC1c,23.23020435,MC1c,MCAV,23,deep,MC1,GP,1.222387648
2301_MF1c,23.35465948,MF1c,OFRA,23,deep,MF1,GP,1.898130565
2301_ML3c,23.22482466,ML3c,DLAB,23,deep,ML3,GP,1.357514239
2301_SA1c,23.2329009,SA1c,PAST,23,shallow,SA1,GP,2.044376685
2301_SC2c,23.3352135,SC2c,MCAV,23,shallow,SC2,GP,1.600850953
2301_SF3c,23.23477049,SF3c,OFRA,23,shallow,SF3,GP,1.640266583
2301_SL2c,23.30875991,SL2c,DLAB,23,shallow,SL2,GP,2.723066266
2302_MA2c,23.18776135,MA2c,PAST,23,deep,MA2,GP,1.147187663
2302_MC3c,23.3904744,MC3c,MCAV,23,deep,MC3,GP,1.789966798
2302_MF3c,23.31124917,MF3c,OFRA,23,deep,MF3,GP,1.649820842
2302_ML1c,23.29036193,ML1c,DLAB,23,deep,ML1,GP,2.477334686
2302_SA2c,23.46502458,SA2c,PAST,23,shallow,SA2,GP,1.70596662
2302_SC3c,23.61186312,SC3c,MCAV,23,shallow,SC3,GP,1.401737875
2302_SF1c,23.41529366,SF1c,OFRA,23,shallow,SF1,GP,1.782157172
2302_SL1c,23.29593544,SL1c,DLAB,23,shallow,SL1,GP,2.147631075
2303_MA3c,23.48663306,MA3c,PAST,23,deep,MA3,GP,1.418379532
2303_MC2c,23.44965903,MC2c,MCAV,23,deep,MC2,GP,1.174520474
2303_MF2c,23.46014772,MF2c,OFRA,23,deep,MF2,GP,1.911612667
2303_ML2c,23.4473848,ML2c,DLAB,23,deep,ML2,GP,2.165232715
2303_SA3c,23.62506358,SA3c,PAST,23,shallow,SA3,GP,1.682080044
2303_SC1c,23.48283761,SC1c,MCAV,23,shallow,SC1,GP,1.142060089
2303_SF2c,23.43753961,SF2c,OFRA,23,shallow,SF2,GP,2.466560626
2303_SL3c,23.61940866,SL3c,DLAB,23,shallow,SL3,GP,1.742230275
2601_MA2b,26.58172473,MA2b,PAST,26,deep,MA2,GP,1.513365251
2601_MC1b,26.52640484,MC1b,MCAV,26,deep,MC1,GP,1.771033174
2601_MF3b,26.4808542,MF3b,OFRA,26,deep,MF3,GP,3.341743933
2601_ML3b,26.63997709,ML3b,DLAB,26,deep,ML3,GP,2.303033863
2601_SA1b,26.51469882,SA1b,PAST,26,shallow,SA1,GP,2.409939985
2601_SC1b,26.41209155,SC1b,MCAV,26,shallow,SC1,GP,1.44674879
2601_SF1b,26.60125821,SF1b,OFRA,26,shallow,SF1,GP,2.323141607
2601_SL3b,26.57217737,SL3b,DLAB,26,shallow,SL3,GP,3.153569229
2603_MA1b,26.51918999,MA1b,PAST,26,deep,MA1,GP,2.349469146
2603_MC3b,26.75235871,MC3b,MCAV,26,deep,MC3,GP,2.188199421
2603_MF2b,26.73390461,MF2b,OFRA,26,deep,MF2,GP,2.15906256
2603_ML2b,26.54160015,ML2b,DLAB,26,deep,ML2,GP,2.10290991
2603_SA2b,26.73886193,SA2b,PAST,26,shallow,SA2,GP,1.573279697
2603_SC3b,26.66562267,SC3b,MCAV,26,shallow,SC3,GP,1.274265554
2603_SF2b,26.64301224,SF2b,OFRA,26,shallow,SF2,GP,2.008824591
2603_SL2b,26.49152045,SL2b,DLAB,26,shallow,SL2,GP,2.4764268
2901_MA2e,29.21553139,MA2e,PAST,29,deep,MA2,GP,1.000785946
2901_MC2e,29.23140276,MC2e,MCAV,29,deep,MC2,GP,1.438759211
2901_MF1e,29.22986688,MF1e,OFRA,29,deep,MF1,GP,2.479178069
2901_ML1e,29.2516397,ML1e,DLAB,29,deep,ML1,GP,2.446717625
2901_SF1e,29.17168588,SF1e,OFRA,29,shallow,SF1,GP,1.777022265
2901_SL3e,29.18734915,SL3e,DLAB,29,shallow,SL3,GP,2.230113404
2902_MA3e,29.18732802,MA3e,PAST,29,deep,MA3,GP,2.161098158
2902_MC3e,29.30078769,MC3e,MCAV,29,deep,MC3,GP,2.034302593
2902_MF3e,29.34466851,MF3e,OFRA,29,deep,MF3,GP,2.04576322
2902_ML2e,29.31765526,ML2e,DLAB,29,deep,ML2,GP,2.600936263
2902_SA2e,29.28028458,SA2e,PAST,29,shallow,SA2,GP,1.334028842
2902_SC1e,29.34181132,SC1e,MCAV,29,shallow,SC1,GP,1.656864816
2902_SC3e,29.22198178,SC3e,MCAV,29,shallow,SC3,GP,1.676816393
2902_SF3e,29.43510785,SF3e,OFRA,29,shallow,SF3,GP,2.255648781
2902_SL2e,29.26573175,SL2e,DLAB,29,shallow,SL2,GP,2.690613668
2903_MA1e,29.56073867,MA1e,PAST,29,deep,MA1,GP,2.055964927
2903_MC1e,29.5404293,MC1e,MCAV,29,deep,MC1,GP,1.371629397
2903_MF2e,29.58540819,MF2e,OFRA,29,deep,MF2,GP,2.183019268
2903_ML3e,29.52838307,ML3e,DLAB,29,deep,ML3,GP,2.54468594
2903_SA1e,29.62348308,SA1e,PAST,29,shallow,SA1,GP,1.461585119
2903_SC2e,29.6355142,SC2e,MCAV,29,shallow,SC2,GP,1.392577943
2903_SF2e,29.55366054,SF2e,OFRA,29,shallow,SF2,GP,2.100492465
2903_SL1e,29.64870274,SL1e,DLAB,29,shallow,SL1,GP,2.285980256
3201_MA2g,32.17869459,MA2g,PAST,32,deep,MA2,GP,1.71965719
3201_MC1g,32.06145752,MC1g,MCAV,32,deep,MC1,GP,1.108773844
3201_MF3g,32.05995868,MF3g,OFRA,32,deep,MF3,GP,1.945361443
3201_ML2g,32.04993069,ML2g,DLAB,32,deep,ML2,GP,2.530568568
3201_SA1g,32.08356481,SA1g,PAST,32,shallow,SA1,GP,1.418903283
3201_SC3g,31.95133447,SC3g,MCAV,32,shallow,SC3,GP,1.040535106
3201_SF2g,32.0725811,SF2g,OFRA,32,shallow,SF2,GP,3.376002778
3201_SL3g,32.09514643,SL3g,DLAB,32,shallow,SL3,GP,2.573124536
3202_MA1g,32.26629901,MA1g,PAST,32,deep,MA1,GP,1.91773164
3202_MC2g,32.36411949,MC2g,MCAV,32,deep,MC2,GP,1.268735002
3202_MF2g,32.40541272,MF2g,OFRA,32,deep,MF2,GP,1.396214096
3202_ML3g,32.51734596,ML3g,DLAB,32,deep,ML3,GP,2.174450326
3202_SA2g,32.38364193,SA2g,PAST,32,shallow,SA2,GP,1.419524925
3202_SC1g,32.17940159,SC1g,MCAV,32,shallow,SC1,GP,1.41497092
3202_SF3g,32.3880204,SF3g,OFRA,32,shallow,SF3,GP,2.354513247
3202_SL2g,32.32156681,SL2g,DLAB,32,shallow,SL2,GP,2.165137297
3203_MA3g,32.48217587,MA3g,PAST,32,deep,MA3,GP,0.774536006
3203_MC3g,32.71518562,MC3g,MCAV,32,deep,MC3,GP,1.004277078
3203_MF1g,32.66241867,MF1g,OFRA,32,deep,MF1,GP,1.657137893
3203_ML1g,32.632899,ML1g,DLAB,32,deep,ML1,GP,1.478410509
3203_SA3g,32.61849441,SA3g,PAST,32,shallow,SA3,GP,0.559174814
3203_SC2g,32.87459664,SC2g,MCAV,32,shallow,SC2,GP,0.991949234
3203_SF1g,32.73067225,SF1g,OFRA,32,shallow,SF1,GP,0.901749696
3203_SL1g,32.79332452,SL1g,DLAB,32,shallow,SL1,GP,0.673757244
3401_MA3f,34.26209419,MA3f,PAST,34,deep,MA3,GP,0.694462124
