"","fragment.ID.full","Temp.C","fragment.ID","species","temp.Cat","treatment","genotype","rate.type","umol.cm2.hr","log.rate","K","fragment.ID2","fitted","residuals"
"95","2101_MC1d",21.35530755,"MC1d","MCAV",21,"deep","MC1","GP",1.366134508,0.861257614320662,294.50530755,"MC",0.877640686504998,-0.0163830721843362
"96","2102_MC3d",21.52738297,"MC3d","MCAV",21,"deep","MC3","GP",1.446058617,0.894478001409564,294.67738297,"MC",0.880134660289607,0.0143433411199566
"97","2103_MC2d",21.62496309,"MC2d","MCAV",21,"deep","MC2","GP",1.385855192,0.869557631138245,294.77496309,"MC",0.881545960275776,-0.0119883291375317
"98","2301_MC1c",23.23020435,"MC1c","MCAV",23,"deep","MC1","GP",1.222387648,0.798582135047133,296.38020435,"MC",0.904372939074604,-0.10579080402747
"99","2302_MC3c",23.3904744,"MC3c","MCAV",23,"deep","MC3","GP",1.789966798,1.02602969540404,296.5404744,"MC",0.906600578038145,0.119429117365896
"100","2303_MC2c",23.44965903,"MC2c","MCAV",23,"deep","MC2","GP",1.174520474,0.776808168509046,296.59965903,"MC",0.907420188447983,-0.130612019938937
"101","2601_MC1b",26.52640484,"MC1b","MCAV",26,"deep","MC1","GP",1.771033174,1.0192202376605,299.67640484,"MC",0.945964792461932,0.0732554451985651
"102","2603_MC3b",26.75235871,"MC3b","MCAV",26,"deep","MC3","GP",2.188199421,1.15945631261022,299.90235871,"MC",0.948243463444746,0.211212849165471
"103","2901_MC2e",29.23140276,"MC2e","MCAV",29,"deep","MC2","GP",1.438759211,0.891489389882956,302.38140276,"MC",0.959856258922953,-0.0683668690399966
"104","2902_MC3e",29.30078769,"MC3e","MCAV",29,"deep","MC3","GP",2.034302593,1.10998160996774,302.45078769,"MC",0.959613946251267,0.15036766371647
"105","2903_MC1e",29.5404293,"MC1e","MCAV",29,"deep","MC1","GP",1.371629397,0.863577228203499,302.6904293,"MC",0.958409800040171,-0.0948325718366719
"106","3201_MC1g",32.06145752,"MC1g","MCAV",32,"deep","MC1","GP",1.108773844,0.746106661986611,305.21145752,"MC",0.888606177472011,-0.1424995154854
"107","3202_MC2g",32.36411949,"MC2g","MCAV",32,"deep","MC2","GP",1.268735002,0.819222408320468,305.51411949,"MC",0.869129150219849,-0.049906741899381
"108","3203_MC3g",32.71518562,"MC3g","MCAV",32,"deep","MC3","GP",1.004277078,0.695283436140293,305.86518562,"MC",0.842085172498977,-0.146801736358683
"109","3401_MC1f",34.26697561,"MC1f","MCAV",34,"deep","MC1","GP",0.803426821,0.589688644436201,307.41697561,"MC",0.649506858610541,-0.0598182141743403
"110","3402_MC3f",34.22164823,"MC3f","MCAV",34,"deep","MC3","GP",1.165674188,0.772731716211786,307.37164823,"MC",0.657117508738687,0.115614207473099
"111","3403_MC2f",34.38652553,"MC2f","MCAV",34,"deep","MC2","GP",1.386167053,0.86968833505555,307.53652553,"MC",0.628792866518782,0.240895468536768
"112","3601_MC2a",36.10625602,"MC2a","MCAV",36,"deep","MC2","GP",0.133792838,0.12556850607739,309.25625602,"MC",0.2216915787935,-0.0961230727161103
"113","3602_MC3a",36.36285097,"MC3a","MCAV",36,"deep","MC3","GP",0.166707297,0.154185505220847,309.51285097,"MC",0.143264542596847,0.0109209626240008
"114","3603_MC1a",36.65033847,"MC1a","MCAV",36,"deep","MC1","GP",0.047415093,0.0463253127269663,309.80033847,"MC",0.0502285266624332,-0.00390321393546691
"115","1901_SC1h",19.39425299,"SC1h","MCAV",19,"shallow","SC1","GP",1.065338067,0.725293925846442,292.54425299,"SC",0.749053182971919,-0.0237592571254762
"116","1902_SC3h",19.3466441,"SC3h","MCAV",19,"shallow","SC3","GP",0.800098668,0.587841478955357,292.4966441,"SC",0.747916691523111,-0.160075212567755
"117","1903_SC2h",19.42447989,"SC2h","MCAV",19,"shallow","SC2","GP",0.780322229,0.576794375448578,292.57447989,"SC",0.749774472417932,-0.172980096969354
"118","2101_SC2d",21.33298096,"SC2d","MCAV",21,"shallow","SC2","GP",1.407649882,0.878651119034752,294.48298096,"SC",0.794836185155983,0.0838149338787699
"119","2102_SC1d",21.45490687,"SC1d","MCAV",21,"shallow","SC1","GP",2.071966042,1.12231776118787,294.60490687,"SC",0.797677596272742,0.32464016491513
"120","2103_SC3d",21.42098488,"SC3d","MCAV",21,"shallow","SC3","GP",1.262285416,0.816375548337085,294.57098488,"SC",0.796887596080263,0.0194879522568215
"121","2301_SC2c",23.3352135,"SC2c","MCAV",23,"shallow","SC2","GP",1.600850953,0.955838681095258,296.4852135,"SC",0.84065999462378,0.115178686471478
"122","2302_SC3c",23.61186312,"SC3c","MCAV",23,"shallow","SC3","GP",1.401737875,0.876192589892761,296.76186312,"SC",0.846808763520415,0.0293838263723457
"123","2303_SC1c",23.48283761,"SC1c","MCAV",23,"shallow","SC1","GP",1.142060089,0.761768024386521,296.63283761,"SC",0.843948250983005,-0.0821802265964839
"124","2601_SC1b",26.41209155,"SC1b","MCAV",26,"shallow","SC1","GP",1.44674879,0.894760118790105,299.56209155,"SC",0.903743637632167,-0.00898351884206283
"125","2603_SC3b",26.66562267,"SC3b","MCAV",26,"shallow","SC3","GP",1.274265554,0.821657166874398,299.81562267,"SC",0.908101209191116,-0.0864440423167178
"126","2902_SC1e",29.34181132,"SC1e","MCAV",29,"shallow","SC1","GP",1.656864816,0.977146787049,302.49181132,"SC",0.933689406098503,0.0434573809504978
"127","2902_SC3e",29.22198178,"SC3e","MCAV",29,"shallow","SC3","GP",1.676816393,0.984628175335077,302.37198178,"SC",0.933780193978607,0.0508479813564701
"128","2903_SC2e",29.6355142,"SC2e","MCAV",29,"shallow","SC2","GP",1.392577943,0.872371421870745,302.7855142,"SC",0.932715268668787,-0.0603438467980417
"129","3201_SC3g",31.95133447,"SC3g","MCAV",32,"shallow","SC3","GP",1.040535106,0.71321208032244,305.10133447,"SC",0.867562133956499,-0.15435005363406
"130","3202_SC1g",32.17940159,"SC1g","MCAV",32,"shallow","SC1","GP",1.41497092,0.88168724562417,305.32940159,"SC",0.853091569015315,0.0285956766088552
"131","3203_SC2g",32.87459664,"SC2g","MCAV",32,"shallow","SC2","GP",0.991949234,0.689113673897901,306.02459664,"SC",0.796162762545491,-0.10704908864759
"132","3401_SC1f",34.33883618,"SC1f","MCAV",34,"shallow","SC1","GP",1.03195622,0.708998984208542,307.48883618,"SC",0.598090227762036,0.110908756446506
"133","3402_SC3f",34.10743567,"SC3f","MCAV",34,"shallow","SC3","GP",0.777479063,0.575196103722933,307.25743567,"SC",0.637427951072656,-0.0622318473497222
"134","3403_SC2f",34.23842169,"SC2f","MCAV",34,"shallow","SC2","GP",1.273017893,0.821108416814785,307.38842169,"SC",0.615556717720252,0.205551699094534
"135","3601_SC3a",36.16172824,"SC3a","MCAV",36,"shallow","SC3","GP",0.042284985,0.0414154040180073,309.31172824,"SC",0.171879683840984,-0.130464279822977
"136","3602_SC1a",36.09633697,"SC1a","MCAV",36,"shallow","SC1","GP",0.19458099,0.17779548791304,309.24633697,"SC",0.19070863691102,-0.0129131489979794
"137","3603_SC2a",36.71211758,"SC2a","MCAV",36,"shallow","SC2","GP",0.055108752,0.0536438440798526,309.86211758,"SC",0.00373628234917467,0.049907561730678
"138","1901_MC1hD",19.2924735,"MC1h","MCAV",19,"deep","MC1","R",0.347138089,0.297982408135221,292.4424735,"MC",0.291718025112006,0.0062643830232143
"139","1902_MC3hD",19.40445154,"MC3h","MCAV",19,"deep","MC3","R",0.351268951,0.301044114664794,292.55445154,"MC",0.293114223008965,0.00792989165582869
"140","1903_MC2hD",19.34257855,"MC2h","MCAV",19,"deep","MC2","R",0.330866505,0.285830237613571,292.49257855,"MC",0.292342891950503,-0.00651265433693249
"141","2101_MC1dD",21.31397023,"MC1d","MCAV",21,"deep","MC1","R",0.664235588,0.509365911704533,294.46397023,"MC",0.316759604031709,0.192606307672823
"142","2102_MC3dD",21.59850342,"MC3d","MCAV",21,"deep","MC3","R",0.355648851,0.30428019654289,294.74850342,"MC",0.320256723252586,-0.0159765267096958
"143","2103_MC2dD",21.77137982,"MC2d","MCAV",21,"deep","MC2","R",0.351639954,0.301318635941958,294.92137982,"MC",0.322378204130717,-0.0210595681887586
"144","2301_MC1cD",23.15863413,"MC1c","MCAV",23,"deep","MC1","R",0.308525622,0.268901023996201,296.30863413,"MC",0.339312486469843,-0.0704114624736413
"145","2302_MC3cD",23.32114288,"MC3c","MCAV",23,"deep","MC3","R",0.454033109,0.374341149828689,296.47114288,"MC",0.341285869062289,0.0330552807664005
"146","2303_MC2cD",23.43891057,"MC2c","MCAV",23,"deep","MC2","R",0.367428301,0.312931823226481,296.58891057,"MC",0.342714598843246,-0.029782775616765
"147","2601_MC1bD",26.26288794,"MC1b","MCAV",26,"deep","MC1","R",0.42043732,0.350964796030565,299.41288794,"MC",0.376637820527576,-0.0256730244970105
"148","2603_MC3bD",26.57986174,"MC3b","MCAV",26,"deep","MC3","R",0.521359329,0.419604230609044,299.72986174,"MC",0.380405588412609,0.0391986421964352
"149","2901_MC2eD",29.12331008,"MC2e","MCAV",29,"deep","MC2","R",0.375528738,0.318838193930508,302.27331008,"MC",0.410352661543238,-0.09151446761273
"150","2902_MC3eD",29.27215285,"MC3e","MCAV",29,"deep","MC3","R",0.511957438,0.413405127890238,302.42215285,"MC",0.412089564755956,0.00131556313428249
"151","2903_MC1eD",29.6666095,"MC1e","MCAV",29,"deep","MC1","R",0.333563028,0.287854328614836,302.8166095,"MC",0.416684371671921,-0.128830043057085
"152","3201_MC1gD",31.79719593,"MC1g","MCAV",32,"deep","MC1","R",0.440783787,0.365187262040061,304.94719593,"MC",0.441296892521629,-0.0761096304815679
"153","3202_MC2gD",32.11805294,"MC2g","MCAV",32,"deep","MC2","R",0.51081288,0.412647837104442,305.26805294,"MC",0.444973665441694,-0.0323258283372518
"154","3203_MC3gD",33.04533535,"MC3g","MCAV",32,"deep","MC3","R",0.443471991,0.367051316399522,306.19533535,"MC",0.45555628958534,-0.0885049731858175
"155","3401_MC1fD",34.1523268,"MC1f","MCAV",34,"deep","MC1","R",0.684285108,0.521341205527829,307.3023268,"MC",0.468106214426053,0.0532349911017753
"156","3402_MC3fD",34.12351537,"MC3f","MCAV",34,"deep","MC3","R",0.689950262,0.524699097732658,307.27351537,"MC",0.467780726327082,0.0569183714055759
"157","3403_MC2fD",34.34566865,"MC2f","MCAV",34,"deep","MC2","R",0.823603775,0.600814639436165,307.49566865,"MC",0.470288855359472,0.130525784076693
"158","3601_MC2aD",35.96327333,"MC2a","MCAV",36,"deep","MC2","R",0.652336232,0.502190184655656,309.11327333,"MC",0.488443051159369,0.0137471334962866
"159","3602_MC3aD",36.3242273,"MC3a","MCAV",36,"deep","MC3","R",0.72352688,0.544372703023747,309.4742273,"MC",0.492468096569848,0.0519046064538991
"160","3603_MC1aD",36.93182607,"MC1a","MCAV",36,"deep","MC1","R",0.357490618,0.305637861568185,310.08182607,"MC",0.305637027121411,8.34446774067299e-07
"161","1901_SC1hD",19.41561569,"SC1h","MCAV",19,"shallow","SC1","R",0.266605679,0.236340628747176,292.56561569,"SC",0.215738771361842,0.0206018573853335
"162","1902_SC3hD",19.30810707,"SC3h","MCAV",19,"shallow","SC3","R",0.272552236,0.241024518501785,292.45810707,"SC",0.205739194571551,0.0352853239302336
"163","1903_SC2hD",19.42585568,"SC2h","MCAV",19,"shallow","SC2","R",0.162198543,0.150313507001225,292.57585568,"SC",0.216613976897313,-0.066300469896088
"164","2101_SC2dD",21.2271555,"SC2d","MCAV",21,"shallow","SC2","R",0.316559758,0.275022090492614,294.3771555,"SC",0.27889392263552,-0.00387183214290615
"165","2102_SC1dD",21.36531843,"SC1d","MCAV",21,"shallow","SC1","R",0.457569547,0.376770354742187,294.51531843,"SC",0.280864008119137,0.0959063466230501
