,temp.Cat,treatment,genotype,fragment.ID,species,chamber.channel,run,individual.ID,NP,R,GP,Temp.C
149,34,shallow,112,SA2f,PAST,3,3402,SA2,-0.055723508,-0.48848033,0.432756823,34.19135748
150,34,shallow,213,SC3f,MCAV,5,3402,SC3,0.39078587,-0.386693193,0.777479063,34.02032819
151,34,shallow,313,SF3f,OFRA,6,3402,SF3,-0.278277125,-0.764595312,0.486318187,34.09952283
152,34,shallow,411,SL1f,DLAB,9,3402,SL1,-0.665003827,-1.109389369,0.444385542,34.23016398
153,34,deep,121,MA1f,PAST,7,3403,MA1,0.4129743,-0.826569022,1.239543321,34.31177156
154,34,deep,222,MC2f,MCAV,8,3403,MC2,0.562563278,-0.823603775,1.386167053,34.36609709
155,34,deep,322,MF2f,OFRA,9,3403,MF2,-0.47269118,-1.055415955,0.582724774,34.52792166
156,34,deep,423,ML3f,DLAB,1,3403,ML3,0.304837909,-0.809098529,1.113936438,33.9573203
157,34,shallow,111,SA1f,PAST,2,3403,SA1,0.525575492,-0.782731694,1.308307187,33.97027442
158,34,shallow,212,SC2f,MCAV,3,3403,SC2,0.696362608,-0.576655285,1.273017893,34.18194159
159,34,shallow,312,SF2f,OFRA,10,3403,SF2,-0.499271709,-0.838339774,0.339068066,34.35795248
160,34,shallow,412,SL2f,DLAB,4,3403,SL2,0.803200302,-0.692203491,1.495403793,34.05821871
161,36,deep,123,MA3a,PAST,8,3601,MA3,-0.773272395,-0.835697565,0.062425169,35.98028902
162,36,deep,222,MC2a,MCAV,1,3601,MC2,-0.518543394,-0.652336232,0.133792838,36.03476467
163,36,deep,321,MF1a,OFRA,9,3601,MF1,-1.14469966,-1.205674919,0.06097526,36.00273119
164,36,deep,422,ML2a,DLAB,7,3601,ML2,-0.574659451,-0.772858021,0.19819857,36.01092353
165,36,shallow,113,SA3a,PAST,4,3601,SA3,-0.514575732,-0.587956209,0.073380477,35.86585879
166,36,shallow,213,SC3a,MCAV,10,3601,SC3,-0.359930491,-0.402215476,0.042284985,36.07974333
167,36,shallow,311,SF1a,OFRA,2,3601,SF1,-0.723828601,-0.879676053,0.155847452,35.90139174
168,36,shallow,411,SL1a,DLAB,6,3601,SL1,-0.588243079,-0.940201777,0.351958697,35.57616344
169,36,deep,121,MA1a,PAST,4,3602,MA1,-0.610194295,-0.769856924,0.15966263,36.12269838
170,36,deep,223,MC3a,MCAV,9,3602,MC3,-0.556819584,-0.72352688,0.166707297,36.34353913
171,36,deep,323,MF3a,OFRA,1,3602,MF3,-0.619755644,-0.780660937,0.160905293,36.07738839
172,36,deep,421,ML1a,DLAB,6,3602,ML1,-0.82309878,-1.024792741,0.201693961,36.09120526
173,36,shallow,111,SA1a,PAST,8,3602,SA1,-0.916653428,-0.858570271,0,36.25392136
174,36,shallow,211,SC1a,MCAV,5,3602,SC1,-0.263837405,-0.458418395,0.19458099,36.03679928
175,36,shallow,313,SF3a,OFRA,10,3602,SF3,-0.431559811,-0.557073043,0.125513231,36.4024045
176,36,shallow,413,SL3a,DLAB,2,3602,SL3,-1.037017661,-1.48049908,0.443481418,36.1313676
177,36,deep,122,MA2a,PAST,3,3603,MA2,-0.294105809,-0.289991301,0,37.05511464
178,36,deep,221,MC1a,MCAV,5,3603,MC1,-0.310075525,-0.357490618,0.047415093,36.79108227
179,36,deep,322,MF2a,OFRA,1,3603,MF2,-0.536662167,-0.699637856,0.16297569,36.97461759
180,36,deep,423,ML3a,DLAB,2,3603,ML3,-0.530512952,-0.70694377,0.176430818,36.98745242
181,36,shallow,112,SA2a,PAST,9,3603,SA2,-0.781207513,-0.926035958,0.144828445,36.94117483
182,36,shallow,212,SC2a,MCAV,8,3603,SC2,-0.649116408,-0.70422516,0.055108752,36.90388562
183,36,shallow,312,SF2a,OFRA,6,3603,SF2,-0.520171165,-0.733542455,0.21337129,36.80169557
184,36,shallow,412,SL2a,DLAB,4,3603,SL2,-0.459089533,-0.645093596,0.186004064,36.87407531
