"","fragment.ID.full","Temp.C","fragment.ID","species","temp.Cat","treatment","genotype","rate.type","umol.cm2.hr","log.rate","K"
"149","3402_SC3f",34.10743567,"SC3f","MCAV",34,"shallow","SC3","GP",0.777479063,0.575196103722933,307.25743567
"150","3402_SF3f",34.20079094,"SF3f","OFRA",34,"shallow","SF3","GP",0.486318187,0.396302046523872,307.35079094
"151","3402_SL1f",34.32729686,"SL1f","DLAB",34,"shallow","SL1","GP",0.444385542,0.367684000678462,307.47729686
"152","3403_MA1f",34.40576112,"MA1f","PAST",34,"deep","MA1","GP",1.239543321,0.806271970528135,307.55576112
"153","3403_MC2f",34.38652553,"MC2f","MCAV",34,"deep","MC2","GP",1.386167053,0.86968833505555,307.53652553
"154","3403_MF2f",34.53194238,"MF2f","OFRA",34,"deep","MF2","GP",0.582724774,0.459147902232635,307.68194238
"155","3403_ML3f",34.0892056,"ML3f","DLAB",34,"deep","ML3","GP",1.113936438,0.74855181982478,307.2392056
"156","3403_SA1f",34.07409079,"SA1f","PAST",34,"shallow","SA1","GP",1.308307187,0.836514436409734,307.22409079
"157","3403_SC2f",34.23842169,"SC2f","MCAV",34,"shallow","SC2","GP",1.273017893,0.821108416814785,307.38842169
"158","3403_SF2f",34.40521442,"SF2f","OFRA",34,"shallow","SF2","GP",0.339068066,0.291973898874863,307.55521442
"159","3403_SL2f",34.15559362,"SL2f","DLAB",34,"shallow","SL2","GP",1.495403793,0.914450556990423,307.30559362
"160","3601_MA3a",36.07274286,"MA3a","PAST",36,"deep","MA3","GP",0.062425169,0.0605541901597133,309.22274286
"161","3601_MC2a",36.10625602,"MC2a","MCAV",36,"deep","MC2","GP",0.133792838,0.12556850607739,309.25625602
"162","3601_MF1a",36.13279546,"MF1a","OFRA",36,"deep","MF1","GP",0.06097526,0.0591885417351038,309.28279546
"163","3601_ML2a",36.1426323,"ML2a","DLAB",36,"deep","ML2","GP",0.19819857,0.180819237210123,309.2926323
"164","3601_SA3a",36.01354158,"SA3a","PAST",36,"shallow","SA3","GP",0.073380477,0.0708129925944424,309.16354158
"165","3601_SC3a",36.16172824,"SC3a","MCAV",36,"shallow","SC3","GP",0.042284985,0.0414154040180073,309.31172824
"166","3601_SF1a",36.00489498,"SF1a","OFRA",36,"shallow","SF1","GP",0.155847452,0.144833799604727,309.15489498
"167","3601_SL1a",35.77479981,"SL1a","DLAB",36,"shallow","SL1","GP",0.351958697,0.301554427597912,308.92479981
"168","3602_MA1a",36.19863054,"MA1a","PAST",36,"deep","MA1","GP",0.15966263,0.148129126610325,309.34863054
"169","3602_MC3a",36.36285097,"MC3a","MCAV",36,"deep","MC3","GP",0.166707297,0.154185505220847,309.51285097
"170","3602_MF3a",36.14535879,"MF3a","OFRA",36,"deep","MF3","GP",0.160905293,0.149200125745033,309.29535879
"171","3602_ML1a",36.13771908,"ML1a","DLAB",36,"deep","ML1","GP",0.201693961,0.183732195541779,309.28771908
"172","3602_SA1a",36.25955211,"SA1a","PAST",36,"shallow","SA1","GP",0.058083156,0.0564589277009946,309.40955211
"173","3602_SC1a",36.09633697,"SC1a","MCAV",36,"shallow","SC1","GP",0.19458099,0.17779548791304,309.24633697
"174","3602_SF3a",36.37937032,"SF3a","OFRA",36,"shallow","SF3","GP",0.125513231,0.118239136959702,309.52937032
