"","K","lwr_CI","upr_CI",".fitted","genotype","treatment","rate.type","species","group","term","estimate","std.error","statistic","p.value","fragment.ID2"
"399",299.429539710964,1.11140275217216,1.25865253493753,1.21534121959538,"ML2","deep","GP","DLAB","deep GP DLAB","Eh",5.55365954577927,0.808706483866074,6.86733648929046,0.00235488723247045,"ML"
"400",299.429539710964,1.11140275217216,1.25865253493753,1.21534121959538,"ML2","deep","GP","DLAB","deep GP DLAB","Th",307.908301867049,0.350686003607464,878.017082802377,1.00956812932228e-11,"ML"
"401",299.499708572691,1.1123303830526,1.25954709654989,1.216459856413,"ML2","deep","GP","DLAB","deep GP DLAB","lnc",1.23073949606017,0.0380059385496084,32.3828207650683,5.42171390818411e-06,"ML"
"402",299.499708572691,1.1123303830526,1.25954709654989,1.216459856413,"ML2","deep","GP","DLAB","deep GP DLAB","E",0.176663230627333,0.0604784144021819,2.92109560698005,0.043196148848203,"ML"
"403",299.499708572691,1.1123303830526,1.25954709654989,1.216459856413,"ML2","deep","GP","DLAB","deep GP DLAB","Eh",5.55365954577927,0.808706483866074,6.86733648929046,0.00235488723247045,"ML"
"404",299.499708572691,1.1123303830526,1.25954709654989,1.216459856413,"ML2","deep","GP","DLAB","deep GP DLAB","Th",307.908301867049,0.350686003607464,878.017082802377,1.00956812932228e-11,"ML"
"405",299.569877434418,1.11325396112021,1.26040932506793,1.21756284035765,"ML2","deep","GP","DLAB","deep GP DLAB","lnc",1.23073949606017,0.0380059385496084,32.3828207650683,5.42171390818411e-06,"ML"
"406",299.569877434418,1.11325396112021,1.26040932506793,1.21756284035765,"ML2","deep","GP","DLAB","deep GP DLAB","E",0.176663230627333,0.0604784144021819,2.92109560698005,0.043196148848203,"ML"
"407",299.569877434418,1.11325396112021,1.26040932506793,1.21756284035765,"ML2","deep","GP","DLAB","deep GP DLAB","Eh",5.55365954577927,0.808706483866074,6.86733648929046,0.00235488723247045,"ML"
"408",299.569877434418,1.11325396112021,1.26040932506793,1.21756284035765,"ML2","deep","GP","DLAB","deep GP DLAB","Th",307.908301867049,0.350686003607464,878.017082802377,1.00956812932228e-11,"ML"
"409",299.640046296145,1.11417329748837,1.26123828517656,1.21864958634298,"ML2","deep","GP","DLAB","deep GP DLAB","lnc",1.23073949606017,0.0380059385496084,32.3828207650683,5.42171390818411e-06,"ML"
"410",299.640046296145,1.11417329748837,1.26123828517656,1.21864958634298,"ML2","deep","GP","DLAB","deep GP DLAB","E",0.176663230627333,0.0604784144021819,2.92109560698005,0.043196148848203,"ML"
"411",299.640046296145,1.11417329748837,1.26123828517656,1.21864958634298,"ML2","deep","GP","DLAB","deep GP DLAB","Eh",5.55365954577927,0.808706483866074,6.86733648929046,0.00235488723247045,"ML"
"412",299.640046296145,1.11417329748837,1.26123828517656,1.21864958634298,"ML2","deep","GP","DLAB","deep GP DLAB","Th",307.908301867049,0.350686003607464,878.017082802377,1.00956812932228e-11,"ML"
"413",299.710215157871,1.11508819341128,1.26203301628117,1.21971948715689,"ML2","deep","GP","DLAB","deep GP DLAB","lnc",1.23073949606017,0.0380059385496084,32.3828207650683,5.42171390818411e-06,"ML"
"414",299.710215157871,1.11508819341128,1.26203301628117,1.21971948715689,"ML2","deep","GP","DLAB","deep GP DLAB","E",0.176663230627333,0.0604784144021819,2.92109560698005,0.043196148848203,"ML"
"415",299.710215157871,1.11508819341128,1.26203301628117,1.21971948715689,"ML2","deep","GP","DLAB","deep GP DLAB","Eh",5.55365954577927,0.808706483866074,6.86733648929046,0.00235488723247045,"ML"
"416",299.710215157871,1.11508819341128,1.26203301628117,1.21971948715689,"ML2","deep","GP","DLAB","deep GP DLAB","Th",307.908301867049,0.350686003607464,878.017082802377,1.00956812932228e-11,"ML"
"417",299.780384019598,1.11599843977853,1.26279253197279,1.22077191267841,"ML2","deep","GP","DLAB","deep GP DLAB","lnc",1.23073949606017,0.0380059385496084,32.3828207650683,5.42171390818411e-06,"ML"
"418",299.780384019598,1.11599843977853,1.26279253197279,1.22077191267841,"ML2","deep","GP","DLAB","deep GP DLAB","E",0.176663230627333,0.0604784144021819,2.92109560698005,0.043196148848203,"ML"
"419",299.780384019598,1.11599843977853,1.26279253197279,1.22077191267841,"ML2","deep","GP","DLAB","deep GP DLAB","Eh",5.55365954577927,0.808706483866074,6.86733648929046,0.00235488723247045,"ML"
"420",299.780384019598,1.11599843977853,1.26279253197279,1.22077191267841,"ML2","deep","GP","DLAB","deep GP DLAB","Th",307.908301867049,0.350686003607464,878.017082802377,1.00956812932228e-11,"ML"
"421",299.850552881325,1.1169038165842,1.2635158194911,1.22180620907057,"ML2","deep","GP","DLAB","deep GP DLAB","lnc",1.23073949606017,0.0380059385496084,32.3828207650683,5.42171390818411e-06,"ML"
"422",299.850552881325,1.1169038165842,1.2635158194911,1.22180620907057,"ML2","deep","GP","DLAB","deep GP DLAB","E",0.176663230627333,0.0604784144021819,2.92109560698005,0.043196148848203,"ML"
"423",299.850552881325,1.1169038165842,1.2635158194911,1.22180620907057,"ML2","deep","GP","DLAB","deep GP DLAB","Eh",5.55365954577927,0.808706483866074,6.86733648929046,0.00235488723247045,"ML"
"424",299.850552881325,1.1169038165842,1.2635158194911,1.22180620907057,"ML2","deep","GP","DLAB","deep GP DLAB","Th",307.908301867049,0.350686003607464,878.017082802377,1.00956812932228e-11,"ML"
"425",299.920721743052,1.11780409236951,1.26420183918571,1.22282169794895,"ML2","deep","GP","DLAB","deep GP DLAB","lnc",1.23073949606017,0.0380059385496084,32.3828207650683,5.42171390818411e-06,"ML"
"426",299.920721743052,1.11780409236951,1.26420183918571,1.22282169794895,"ML2","deep","GP","DLAB","deep GP DLAB","E",0.176663230627333,0.0604784144021819,2.92109560698005,0.043196148848203,"ML"
"427",299.920721743052,1.11780409236951,1.26420183918571,1.22282169794895,"ML2","deep","GP","DLAB","deep GP DLAB","Eh",5.55365954577927,0.808706483866074,6.86733648929046,0.00235488723247045,"ML"
"428",299.920721743052,1.11780409236951,1.26420183918571,1.22282169794895,"ML2","deep","GP","DLAB","deep GP DLAB","Th",307.908301867049,0.350686003607464,878.017082802377,1.00956812932228e-11,"ML"
"429",299.990890604779,1.11869902363776,1.26484952397653,1.22381767552546,"ML2","deep","GP","DLAB","deep GP DLAB","lnc",1.23073949606017,0.0380059385496084,32.3828207650683,5.42171390818411e-06,"ML"
"430",299.990890604779,1.11869902363776,1.26484952397653,1.22381767552546,"ML2","deep","GP","DLAB","deep GP DLAB","E",0.176663230627333,0.0604784144021819,2.92109560698005,0.043196148848203,"ML"
"431",299.990890604779,1.11869902363776,1.26484952397653,1.22381767552546,"ML2","deep","GP","DLAB","deep GP DLAB","Eh",5.55365954577927,0.808706483866074,6.86733648929046,0.00235488723247045,"ML"
"432",299.990890604779,1.11869902363776,1.26484952397653,1.22381767552546,"ML2","deep","GP","DLAB","deep GP DLAB","Th",307.908301867049,0.350686003607464,878.017082802377,1.00956812932228e-11,"ML"
"433",300.061059466506,1.11958835423999,1.26545777881402,1.22479341172684,"ML2","deep","GP","DLAB","deep GP DLAB","lnc",1.23073949606017,0.0380059385496084,32.3828207650683,5.42171390818411e-06,"ML"
"434",300.061059466506,1.11958835423999,1.26545777881402,1.22479341172684,"ML2","deep","GP","DLAB","deep GP DLAB","E",0.176663230627333,0.0604784144021819,2.92109560698005,0.043196148848203,"ML"
"435",300.061059466506,1.11958835423999,1.26545777881402,1.22479341172684,"ML2","deep","GP","DLAB","deep GP DLAB","Eh",5.55365954577927,0.808706483866074,6.86733648929046,0.00235488723247045,"ML"
"436",300.061059466506,1.11958835423999,1.26545777881402,1.22479341172684,"ML2","deep","GP","DLAB","deep GP DLAB","Th",307.908301867049,0.350686003607464,878.017082802377,1.00956812932228e-11,"ML"
"437",300.131228328233,1.12047181473027,1.26602548014,1.22574814928775,"ML2","deep","GP","DLAB","deep GP DLAB","lnc",1.23073949606017,0.0380059385496084,32.3828207650683,5.42171390818411e-06,"ML"
"438",300.131228328233,1.12047181473027,1.26602548014,1.22574814928775,"ML2","deep","GP","DLAB","deep GP DLAB","E",0.176663230627333,0.0604784144021819,2.92109560698005,0.043196148848203,"ML"
"439",300.131228328233,1.12047181473027,1.26602548014,1.22574814928775,"ML2","deep","GP","DLAB","deep GP DLAB","Eh",5.55365954577927,0.808706483866074,6.86733648929046,0.00235488723247045,"ML"
"440",300.131228328233,1.12047181473027,1.26602548014,1.22574814928775,"ML2","deep","GP","DLAB","deep GP DLAB","Th",307.908301867049,0.350686003607464,878.017082802377,1.00956812932228e-11,"ML"
"441",300.20139718996,1.12134912168902,1.26655147535001,1.22668110281781,"ML2","deep","GP","DLAB","deep GP DLAB","lnc",1.23073949606017,0.0380059385496084,32.3828207650683,5.42171390818411e-06,"ML"
"442",300.20139718996,1.12134912168902,1.26655147535001,1.22668110281781,"ML2","deep","GP","DLAB","deep GP DLAB","E",0.176663230627333,0.0604784144021819,2.92109560698005,0.043196148848203,"ML"
"443",300.20139718996,1.12134912168902,1.26655147535001,1.22668110281781,"ML2","deep","GP","DLAB","deep GP DLAB","Eh",5.55365954577927,0.808706483866074,6.86733648929046,0.00235488723247045,"ML"
